ID,Code,Day,Month,Year,Addressed from (Actual) ,Reg. Place written,Reg. Place written city,Reg. Place written country,"Reg. Place written, second city",Autograph or Typed,PhysDes,initialed or signed,phys descr detail,PhysDes notes,leaves,sides,Envelope,Postmark (Actual),Addressed to (Actual),Reg. recipient,Reg place sent,Reg. PlaceSent City,Reg. PlaceSent Country,Additional,Repository,Public?,Collection,Repository information,Second Repository,SECOND PUBLIC?,OwnerRights,PrimaryLang,File,Sender,PlacePrevPubl,Verified
1,SABE ND MONDAY JAMA,0,0,0,NP,,,,,A,L,S,,,1,1,,,GLORIA AND JACK MACGOWRAN,GLORIA AND JACK MACGOWRAN,LONDON,,,,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
2,SABE 27-07-61 JAMA,27,7,61,LA FERTÉ SOUS JOUARRE,,Ussy-sur-Marne,France,Ussy-sur-Marne,A,PC,S,,,1,1,E,"27-7-61, LA FERTE-SOUS-JOUARRE",JACK MACGOWRAN,JACK MACGOWRAN,LONDON,,,"""CRYPTE DE L'ANCIENNE ABBAYE, NOTRE DAME, JOUARRE""",University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
3,SABE 11-07-62 JAMA,11,7,62,"38 BLD. ST. JACQUES, PARIS 14ME",38 Boulevard Saint-Jacques,Paris,France,,T,L,S,,,1,1,,,JACK MACGOWRAN,JACK MACGOWRAN,LONDON,,,AN P.S.,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
4,SABE 01-10-63 JAMA,1,10,63,PARIS,,Paris,France,,A,L,S,,,1,1,E,1-10-63 PA,JACK MACGOWRAN,JACK MACGOWRAN,55 MANCHESTER STREET/LONDON W.1/ANGLETERRE,,,,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
5,SABE 26-10-63 JAMA,26,10,63,PARIS,,Paris,France,,A,L,S,,,1,1,E,26-10-63 P,JACK MACGOWRAN,JACK MACGOWRAN,55 MANCHESTER ST./LONDON W.1/ANGLETERRE,,,,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
6,SABE 16-01[SIC11]-63 JAMA,16,11,63,PARIS,,Paris,France,,A,C,S,,,1,1,E,16-11-63 P,JACK MACGOWRAN,JACK MACGOWRAN,55 MANCHESTER ST./LONDON W.1/ANGLETERRE,,,,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
7,SABE 29-11-63 JAMA,29,11,63,USSY SUR MARNE,,Ussy-sur-Marne,France,,A,C,S,,,1,1,E,30-11-63 LA FERTE-SOUS-JOUARRE,JACK MACGOWRAN,JACK MACGOWRAN,55 MANCHESTER ST./LONDON W.1/ANGLETERRE,,,ENC. T AND ALS/M.BLAKE,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
8,SABE 25-04-63 JAMA,25,4,63,LA FERTÉ SOUS JOUARRE,,Ussy-sur-Marne,France,Ussy-sur-Marne,A,PC,S,,,1,1,,25-04-63LA,JACK MACGOWRAN,JACK MACGOWRAN,55 MANCHESTER ST/LONDON W.1/ANGLETERRE,,,"GOLF COURSE AND SKI JUMP, DARTMOUTH COLLEGE, HANOVER, N.H.",University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
9,SABE 28-07-63 JAMA,28,7,63,PARIS,,Paris,France,,A,C,S,,,1,1,E,29-7-63 PA,JACK MACGOWRAN,JACK MACGOWRAN,55 MANCHESTER STREET/LONDON W.1/ANGLETERRE,,,,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
10,SABE 04-07-63 JAMA,4,7,63,BERGHOTEL/ZELL AM SEE/AUSTRIA,Berghotel,Zell-am-See,Austria,,A,L,S,,,2,2,E,5/7/63,JACK MACGOWRAN,JACK MACGOWRAN,"55 MANCHESTER ST., LONDON W.1, ENGLAND",,,,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
11,SABE 23-08-63 JAMA,23,8,63,PARIS,,Paris,France,,A,L,S,,,1,1,E,"23-8-63, PARIS",JACK MACGOWRAN,JACK MACGOWRAN,55 MANCHESTER ST./LONDON W.1/ANGLETERRE,,,,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
12,SABE 17-09-63 JAMA,17,9,63,PARIS,,Paris,France,,A,L,S,,,1,1,E,18-9-63 PA,JACK MACGOWRAN,JACK MACGOWRAN,55 MANCHESTER ST/LONDON W.1/ANGLETERRE,,,,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
13,SABE 25-9-63 JAMA,25,9,63,PARIS,,Paris,France,,A,L,S,,,1,1,E,26-9-63 PA,JACK MACGOWRAN,JACK MACGOWRAN,55 MANCHESTER STREET/ LONDON W.1/ANGLETERRE,,,,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
14,SABE 05-10-66 JAMA,5,10,66,PARIS,,Paris,France,,A,L,S,,,1,1,E,ILLEGPARIS,JACK MACGOWRAN,JACK MACGOWRAN,C/O PETERSHAM FILMS/CALLE LAS CONCHOS/ALMERIA/ESPAGNE,,,,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
15,SABE 27-05-64 JAMA,27,5,64,PARIS,,Paris,France,,A,L,S,,,1,1,E,27-5-64,JACK MACGOWRAN,JACK MACGOWRAN,55 MANCHESTER STREET/LONDON W.1/ANGLETERRE,,,,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
16,SABE 10-07-64 JAMA,10,7,64,"JAMAICA, NEW YORK",Jamaica,New York,USA,,A,C,S,,,1,1,E,11-7-64 NY,JACK MACGOWRAN,JACK MACGOWRAN,55 MANCHESTER STREET/LONDON W.1/ANGLETERRE,,,,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
17,SABE 07-12-65 JAMA,7,12,65,PARIS,,Paris,France,,A,L,S,,,1,1,E,7-12-65 PA,JACK MACGOWRAN,JACK MACGOWRAN,36 THAYER STREET/LONDON W.1/ANGLETERRE,,,NOTES LEFT&RIGHT MARGINS,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
18,SABE 03-02-65 JAMA,3,2,65,PARIS,,Paris,France,,A,L,S,,,1,1,E,3-2-65 PARIS,JACK MACGOWRAN,JACK MACGOWRAN,1 MONTAGU SQUARE/LONDON W.1/ANGLETERRE,,,,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
19,SABE 01-03-65 JAMA,1,3,65,PARIS,,Paris,France,,T,L,S,,,1,1,E,1/3/65,JACK MACGOWRAN,JACK MACGOWRAN,1 MONTAGU SQUARE/LONDON W.1/ANGLETERRE,,,,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
20,SABE 10-04-65 JAMA,10,4,65,PARIS,,Paris,France,,A,C,S,,,1,2,E,10-4-65 PA,JACK MACGOWRAN,JACK MACGOWRAN,1 MONTAGU SQUARE/LONDON W.1/ANGLETERRE,,,,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
21,SABE 15-05-65 JAMA,15,5,65,USSY SUR MARNE,,Ussy-sur-Marne,France,,A,L,S,,,1,1,E,15-5-65 LA,JACK MACGOWRAN,JACK MACGOWRAN,1 MONTAGU SQUARE/LONDON W.1/ANGLETERRE,,,"enclosure TMS 5 leaves, 5 sides Eh Joe",University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
22,SABE 08-07-65 JAMA,8,7,65,"COURMAYEUR, ITALY",,Courmayeur,Italy,,A,PC,S,,,1,1,,"11/7/65, COURMAYEUR",MR & MRS JACK MACGOWRAN,MR & MRS JACK MACGOWRAN,1 MONTAGU SQUARE/LONDON W.1/ANGLETERRE,,,AN AH 55 MANCHESTER ST.,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
23,SABE 30-08-65 JAMA,30,8,65,USSY SUR MARNE,,Ussy-sur-Marne,France,,A,C,S,,,1,2,E,30-8-65 LA FERTE-SOUS-MARNE,JACK MACGOWRAN,JACK MACGOWRAN,46 LOWER BEECHWOOD AVENUE/RANELAGH/DUBLIN/IRLANDE,,,,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
24,SABE 12-09-65 JAMA,12,9,65,PARIS,,Paris,France,,A,L,S,,,1,1,E,14-9-65 PA,JACK MACGOWRAN,JACK MACGOWRAN,C/O 4 UPPER LEESON STREET/DUBLIN/IRLANDE,,,,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
25,SABE 23-02-66[22-3-66] JAMA,23,2,66,PARIS,,Paris,France,,A,C,S,,,1,2,E,22-2-66,JACK MACGOWRAN,JACK MACGOWRAN,HOTEL TOSTE/ORTISEI/BOLZANO/ITALIE,,,,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
26,SABE 06-02-66 [for 6-1-66] JAMA,6,2,66,PARIS,,Paris,France,,T,L,S,,,1,1,,,JACK MACGOWRAN,JACK MACGOWRAN,LONDON,,,,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
27,SABE 11-03-66 JAMA,11,3,66,"SANTA MARGHERITA LIGURE, GENOA, ITALY",,"Santa Margherita Ligure, Genoa",Italy,,A,PC,S,,,1,1,,"12-3-66 S. MARGHERITA, GENOVA",JACK MACGOWRAN,JACK MACGOWRAN,HOTEL REGINA/ORTISEI/BOLZANO,,,"""S. Margherita Ligure: Plaza Vittorio Venet & passeggaiata & mare""",University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,Y
28,SABE 16-05-66 JAMA,16,5,66,USSY SUR MARNE,,Ussy-sur-Marne,France,,A,L,S,,,1,1,E,16-5-66 LA FERTE-SOUS-MARNE,JACK MACGOWRAN,JACK MACGOWRAN,38 FITZJOHN'S AVENUE/LONDON N.W.3/ANGLETERRE,,,,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
29,SABE 08-09-66 JAMA,8,9,66,PARIS,,Paris,France,,A,L,S,,,1,1,E,"9-9-66, PARIS",JACK MACGOWRAN,JACK MACGOWRAN,HOTEL CELLER HOF/ROOM 218/31 CELLE/ALLEMAGNE,,,,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
30,SABE 13-12-67 JAMA,13,12,67,USSY SUR MARNE,,Ussy-sur-Marne,France,,A,C,S,,,1,2,E,"14-12-67, LA FERTE-SOUS-JOUARRE",JACK MACGOWRAN,JACK MACGOWRAN,2 DEVONSHIRE COURT/26A DEVONSHIRE ST./LONDON N.1/ANGLETERRE,,,RECHECK # OF SIDES,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
31,SABE 30-09-67 JAMA,30,9,67,PARIS,,Paris,France,,A,PC,S,,,1,1,,"1-10-67, PARIS",JACK MACGOWRAN,JACK MACGOWRAN,24A DEVONSHIRE ST/LONDON W.1./ANGLETERRE,,,"""HEAD OF A LARGE CYCLAD STATUE""",University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
32,SABE 07-01-68 JAMA,7,1,68,USSY SUR MARNE,,Ussy-sur-Marne,France,,A,C,S,,,1,2,E,8-1-68 LA,JACK MACGOWRAN,JACK MACGOWRAN,2 DEVONSHIRE COURT/26A DEVONSHIRE ST./LONDON N.1/ANGLETERRE,,,,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
33,SABE 25-10-68 JAMA,25,10,68,PARIS,,Paris,France,,A,L,S,,,1,2,E,26-10-68 P,JACK MACGOWRAN,JACK MACGOWRAN,2 DEVONSHIRE COURT/26A DEVONSHIRE ST./LONDON W.1/ANGLETERRE,,,,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
34,SABE 12-02-68 JAMA,12,2,68,PARIS,,Paris,France,,A,C,S,,,1,1,,,JACK MACGOWRAN,JACK MACGOWRAN,LONDON,,,,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
35,SABE 16-07-68 JAMA,16,7,68,PARIS,,Paris,France,,A,C,S,,,1,1,E,17-7-68,JACK MACGOWRAN,JACK MACGOWRAN,2 DEVONSHIRE COURT/26A DEVONSHIRE STREET/LONDON W.1/ANGLETERRE,,,,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
36,SABE 02-09-68 JAMA,2,9,68,PARIS,,Paris,France,,A,L,S,,,1,1,E,2-9-68 PA,JACK & GLORIA MACGOWRAN,JACK & GLORIA MACGOWRAN,HOTEL MONTALAMBERT/RUE MONTALAMBERT/PARIS 6ME,,,,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
37,SABE 17-01-69 JAMA,17,1,69,"PORTO SANTO, MADEIRA, PORTUGAL",Porto Santo,Madeira,Portugal,,A,PC,S,,,1,1,,?-1-69,JACK & GLORIA MACGOWRAN,JACK & GLORIA MACGOWRAN,2 DEVONSHIRE CT/26A DEVONSHIRE ST.LONDON W.1./ANGLETERRE,,,Porto Santo com o Pico Costello,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
38,SABE 02-10-69 JAMA,2,10,69,BERLIN,,Berlin,Germany,,A,PC,S,,,1,1,,?-1-69,JACK MACGOWRAN,JACK MACGOWRAN,2 DEVONSHIRE CT./26A DEVONSHIRE ST.LONDON W.I./ENGLAND,,,MAX LIEBERMANN/HAUS AM WA,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
39,SABE 28-10-69 JAMA,28,10,69,"NABEUL, TUNISIA",,Nabeul,Tunisia,,A,PC,S,,,1,1,,29-10-69 N,GLORIA AND JACK MACGOWRAN,GLORIA AND JACK MACGOWRAN,2 DEVONSHIRE COURT/26A DEVONSHIRE ST./LONDON W.1/ANGLETERRE,,,"""NABEUL""",University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
40,SABE 09-12-69-JAMA,9,12,69,"NABEUL, TUNISIA",,Nabeul,Tunisia,,A,C,S,,,1,2,E,12/12/69,JACK MACGOWRAN,JACK MACGOWRAN,2 DEVONSHIRE COURT/26A DEVONSHIRE ST./LONDON W.1/ANGLETERRE,,,,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
41,SABE 31-05-69 JAMA,31,5,69,PARIS,,Paris,France,,A,C,S,,,1,1,E,31-5-69,JACK & GLORIA MACGOWRAN,JACK & GLORIA MACGOWRAN,2 DEVONSHIRE COURT/26A DEVONSHIRE ST./LONDON W.1/ANGLETERRE,,,,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
42,SABE 05-11-70 JAMA,5,11,70,PARIS,,Paris,France,,A,L,S,,,1,1,E,6-11-70 PA,JACK & GLORIA MACGOWRAN,JACK & GLORIA MACGOWRAN,"FLAT 147/900 WEST END AV./NEW YORK, N.Y. 10025/U.S.A.",,,,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
43,SABE 24-12-70 JAMA,24,12,70,PARIS,,Paris,France,,A,L,S,,,1,2,E,24-12-70 P,JACK MACGOWRAN,JACK MACGOWRAN,"CO/MR ROBERT LANZ/111 WEST 57TH STREET/NEW YORK, N.Y. 10019/U.S.A",,,FORWARDED 900 WEST END AV,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
44,SABE 29-07-70 JAMA,29,7,70,PARIS,,Paris,France,,A,C,S,,,1,1,E,29-7-70,JACK MACGOWRAN,JACK MACGOWRAN,C/O GARECH DE BRUN/WOODTOWN MANOR/RATHFARNHAM/DUBLIN 14/IRLANDE,,,,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
45,SABE 09-07-70 JAMA,9,7,70,PARIS,,Paris,France,,A,L,S,,,1,1,E,9-7-70 PA,JACK MACGOWRAN,JACK MACGOWRAN,WOODTOWN MANOR/RATHFARNHAM/CO. DUBLIN/IRLANDE,,,,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
46,SABE SAT 12-09-70 JAMA,12,9,70,PARIS,,Paris,France,,A,C,S,,,1,1,E,13-9-70,JACK MACGOWRAN,JACK MACGOWRAN,C/O ALAN SCHNEIDER/30 SCENIC DRIVE/HASTINGS ON HUDSON/NEW YORK/U.,,,SATURDAY,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
47,SABE 23-11-71 JAMA,23,11,71,PARIS,,Paris,France,,A,C,S,,,1,1,E,24-11-71 P,JACK MACGOWRAN,JACK MACGOWRAN,"HOTEL CHELSEA/7TH AV. & W. 23 ST/NEW YORK, N.Y. 10011/U.S.A.",,,,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
48,SABE 02-12-71 JAMA,2,12,71,PARIS,,Paris,France,,A,C,S,,,1,2,E,3-12-71 PA,JACK MACGOWRAN,JACK MACGOWRAN,HOTEL CHELSEA/7TH AVENUE & W 23RD ST./NEW YORK CITY 10011/U.S.A.,,,,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
49,SABE 07-02-71 JAMA,7,2,71,PARIS,,Paris,France,,A,L,S,,,1,1,E,8/2/71,JACK & GLORIA MACGOWRAN,JACK & GLORIA MACGOWRAN,"Flat 14F 900 West End Ave. New York, N.Y 10025 USA",,,,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
50,SABE 01-03-71 JAMA,1,3,71,PARIS,,Paris,France,,A,L,S,,,1,1,E,1-3-71 PA,JACK MACGOWRAN,JACK MACGOWRAN,"APT 14F/900 WEST END AVENUE/NEW YORK, N.Y. 10025/U.S.A.",,,,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
51,SABE 16-04-71 JAMA,16,4,71,PARIS,,Paris,France,,A,C,S,,,1,2,E,16-4-71 PARIS,JACK MACGOWRAN,JACK MACGOWRAN,"143 WEST 81 ST./NEW YORK, N.Y. 10029/U.S.A.",,,,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
52,SABE 03-04-71 JAMA,3,4,71,PARIS,,Paris,France,,A,L,S,,,1,1,E,3-5-71 PA,JACK MACGOWRAN,JACK MACGOWRAN,"C/O ROBERT LANZ LET./111 WEST 57 ST/NEW YORK,N.Y. 10019/U.S.A.",,,,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
53,SABE 13-04-72 JAMA,13,4,72,PARIS,,Paris,France,,A,L,S,,,1,1,E,13-4-72 PA,JACK MACGOWRAN,JACK MACGOWRAN,THE REGENTS PARK NURSING HOME/20 ST. EDMUNDS TERRACE/LONDON N.W.8,,,,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
54,SABE 16-07-72 JAMA,16,7,72,PARIS,,Paris,France,,A,C,S,,,1,1,E,16-7-72 PA,JACK MACGOWRAN,JACK MACGOWRAN,% GARECH DE BRUN/WOODTOWN MANOR/RATHFARNUM/DUBLIN IRELAND,,,,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
55,SABE 01-09-72 JAMA,1,9,72,PARIS,,Paris,France,,A,C,S,,,1,1,E,1-9-72 PA,JACK MACGOWRAN,JACK MACGOWRAN,"CHATEAU MARMONT HOTEL/8221 SUNSET BOULEVARD/HOLLYWOOD, CALIF. 900",,,,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
57,SABE [09-12-85] GLMA,9,12,85,Paris,,Paris,France,,,,,,,1,1,E,"9-12-85, Paris","Mrs Gloria MacGowran, 12 Buckingham St., London WC2, ANGLETERRE",Gloria MacGowran,12 Buckingham Street,London,England,"Dating from postmark. ""Le Pont de maincy"" (1879-80), Paul Cézanne",Dartmouth College,public,Samuel Beckett papers,MSS 122,,,Beckett,English,MACGOWRAN G,Samuel Beckett,,
58,SABE [8]-12-75 GLMA,8,12,75,Paris,,Paris,France,,A,PC,S,imprinted,,1,2,E,"8-12-75, Paris","Mrs J. MacGowran, 36 Thayer St., London W.1, Angleterre",Gloria MacGowran,36 Thayer Street,London,England,"Imprinted Meilleurs Voeux; ""La grand Famille,"" Maragritte",Dartmouth College,public,Samuel Beckett papers,MSS 122,,,Beckett,English,MACGOWRAN G,Samuel Beckett,,
59,SABE 01-02-87 GLMA,1,2,87,Paris,,Paris,France,,A,C,S,,,1,1,E,"2-2-87, Paris","Ms. Gloria MacGowran, 12 Buckingham St., London WC2, ANGLETERRE",Gloria MacGowran,12 Buckingham Street,London,England,"""Paris 1900: La séance de Guignol."" Enclosures: 2 ACS, 2 leaves, 2 sides.",Dartmouth College,public,Samuel Beckett papers,MSS 122,"Enclosed ACS regarding royalties at Burns Library, Boston College, Rosset-Beckett",,Beckett,English,MACGOWRAN G,Samuel Beckett,,
60,SABE 01-06-76 GLMA,1,6,76,Ussy,,Ussy-sur-Marne,France,,A,PC,S,,,1,1,E,"2-6-76, La Ferté-sous-Jouarre","Mrs Gloria MacGowran, 36 Thayer St., London W.1, Angleterre",Gloria MacGowran,36 Thayer Street,London,England,,Dartmouth College,public,Samuel Beckett papers,MSS 122,,,Beckett,English,MACGOWRAN G,Samuel Beckett,,
61,SABE 01-11-80 GLMA,1,11,80,Paris,,Paris,France,,A,C,S,,,1,1,E,"2-11-80, Paris","Mrs Gloria MacGowran, 12 Buckingham St., London WC2, Angleterre",Gloria MacGowran,12 Buckingham Street,London,England,,Dartmouth College,public,Samuel Beckett papers,MSS 122,,,Beckett,English,MACGOWRAN G,Samuel Beckett,,
62,SABE 01-11-85 GLMA,1,11,85,Paris,,Paris,France,,A,C,S,,,1,1,E,"1-10-85, Paris","Mrs Gloria MacGowran, 12 Buckingham St., London WC2, ANGLETERRE",Gloria MacGowran,12 Buckingham Street,London,England,,Dartmouth College,public,Samuel Beckett papers,MSS 122,,,Beckett,English,MACGOWRAN G,Samuel Beckett,,
63,SABE 02-02-67 GLMA,2,2,67,PARIS,,Paris,France,,A,L,S,,,1,1,E,"2/2/67, PARIS",GLORIA MACGOWRAN,GLORIA MACGOWRAN,"Mrs J. MacGowarn, 36 Thayer St., London W.1, Angleterre; verso Ex. Beckett, 38 Bd. St. Jacques, Paris 14",,,,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN G,Samuel Beckett,,
64,SABE 03-09-73 GLMA,3,9,73,Paris,,Paris,France,,A,PC,S,,,1,1,E,"3-9-73, Paris","Mrs J. MacGowran, 36 Thayer St., London W.1, Angleterre",Gloria MacGowran,36 Thayer Street,London,England,,Dartmouth College,public,Samuel Beckett papers,MSS 122,,,Beckett,English,MACGOWRAN G,Samuel Beckett,,
65,SABE 05-12-77 GLMA,5,12,77,Paris,,Paris,France,,A,C,S,imprinted,,1,1,E,"6-12-77, La Ferté-sous-Jouarre","Mrs Gloria MacGowran, 12 Buckingham St., London WC2, Angleterre",Gloria MacGowran,12 Buckingham Street,London,England,"Imprinted Meilleurs Voeux; ""Annecy, l'embarcadére,"" Buffet.",Dartmouth College,public,Samuel Beckett papers,MSS 122,,,Beckett,English,MACGOWRAN G,Samuel Beckett,,
66,SABE 06-12-78 GLMA,6,12,78,Paris,,Paris,France,,A,C,S,imprinted,,1,1,E,"7-12-78, Paris","Mrs Gloria MacGowran, 12 Buckingham St, London WC2, Angleterre",Gloria MacGowran,12 Buckingham Street,London,England,Imprinted Meilleurs Voeux.,Dartmouth College,public,Samuel Beckett papers,MSS 122,,,Beckett,English,MACGOWRAN G,Samuel Beckett,,
67,SABE 07-02-88 GLMA,7,2,88,Paris,,Paris,France,,A,C,S,,,1,1,E,"7-2-88, Paris","Ms Gloria MacGowran, 33A Villiers St., London WC2, ANGLETERRE",Gloria MacGowran,33A Villiers Street,London,England,"""Paris 1900: La séance de Guignol.""",Dartmouth College,public,Samuel Beckett papers,MSS 122,,,Beckett,English,MACGOWRAN G,Samuel Beckett,,
68,SABE 07-12-63 GLMA,7,12,63,PARIS,,Paris,France,,A,L,S,,,1,1,E,7/12/63,GLORIA MACGOWRAN,GLORIA MACGOWRAN,LONDON,,,,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN G,Samuel Beckett,,
69,SABE [07]-12-73 GLMA,7,12,73,Paris,,Paris,France,,A,PC,S,imprinted,,1,1,E,"7-12-73, Paris","Mrs J. MacGowran, 36 Thayer St., London W.1, Angleterre",Gloria MacGowran,36 Thayer Street,London,England,Imprinted Meilleurs Voeux,Dartmouth College,public,Samuel Beckett papers,MSS 122,,,Beckett,English,MACGOWRAN G,Samuel Beckett,,
